Year,Month,Day,NorESM1-M
1982,7,28,14.54
1982,7,29,14.23
1982,7,30,14.01
1982,7,31,13.79
1982,8,1,13.53
1982,8,2,13.29
1982,8,3,13.08
1982,8,4,12.93
1982,8,5,12.70
1982,8,6,12.42
1982,8,7,12.23
1982,8,8,12.10
1982,8,9,11.95
1982,8,10,11.75
1982,8,11,11.52
1982,8,12,11.30
1982,8,13,11.09
1982,8,14,10.94
1982,8,15,10.76
1982,8,16,10.56
1982,8,17,10.34
1982,8,18,10.09
1982,8,19,9.90
1982,8,20,9.75
1982,8,21,9.63
1982,8,22,9.49
1982,8,23,9.37
1982,8,24,9.22
1982,8,25,9.04
1982,8,26,8.85
1982,8,27,8.65
1982,8,28,8.46
1982,8,29,8.32
1982,8,30,8.18
1982,8,31,8.10
1982,9,1,8.01
1982,9,2,7.89
1982,9,3,7.75
1982,9,4,7.61
1982,9,5,7.49
1982,9,6,7.42
1982,9,7,7.30
1982,9,8,7.15
1982,9,9,7.00
1982,9,10,6.85
1982,9,11,6.71
1982,9,12,6.57
1982,9,13,6.45
1982,9,14,6.38
1982,9,15,6.36
1982,9,16,6.25
1982,9,17,6.09
1982,9,18,5.95
1982,9,19,5.83
1982,9,20,5.71
1982,9,21,5.60
1982,9,22,5.51
1982,9,23,13.14
1982,9,24,22.95
1982,9,25,26.54
1982,9,26,15.10
1982,9,27,8.97
1982,9,28,6.73
1982,9,29,6.02
1982,9,30,5.77
1982,10,1,5.64
1982,10,2,5.53
1982,10,3,5.44
1982,10,4,5.38
1982,10,5,5.32
1982,10,6,5.25
1982,10,7,5.16
1982,10,8,5.06
1982,10,9,4.94
1982,10,10,4.85
1982,10,11,10.56
1982,10,12,80.84
1982,10,13,62.75
1982,10,14,29.38
1982,10,15,14.24
1982,10,16,11.20
1982,10,17,10.07
1982,10,18,9.03
1982,10,19,7.85
1982,10,20,7.15
1982,10,21,6.79
1982,10,22,6.59
1982,10,23,6.44
1982,10,24,6.30
1982,10,25,13.94
1982,10,26,10.85
1982,10,27,8.05
1982,10,28,6.74
1982,10,29,7.38
1982,10,30,79.19
1982,10,31,41.81
1982,11,1,19.46
1982,11,2,11.14
1982,11,3,8.48
1982,11,4,7.64
1982,11,5,7.29
1982,11,6,7.09
1982,11,7,6.95
1982,11,8,6.91
1982,11,9,93.74
1982,11,10,124.50
1982,11,11,70.76
1982,11,12,32.43
1982,11,13,19.57
1982,11,14,25.27
1982,11,15,18.44
1982,11,16,13.71
1982,11,17,11.60
1982,11,18,10.75
1982,11,19,65.91
1982,11,20,55.42
1982,11,21,58.54
1982,11,22,108.72
1982,11,23,48.77
1982,11,24,75.47
1982,11,25,197.73
1982,11,26,199.69
1982,11,27,150.35
1982,11,28,86.35
1982,11,29,49.57
1982,11,30,63.98
1982,12,1,99.70
1982,12,2,118.46
1982,12,3,62.82
1982,12,4,37.57
1982,12,5,68.31
1982,12,6,62.29
1982,12,7,41.78
1982,12,8,30.81
1982,12,9,26.47
1982,12,10,24.82
1982,12,11,24.06
1982,12,12,23.57
1982,12,13,23.15
1982,12,14,22.75
1982,12,15,22.38
1982,12,16,22.00
1982,12,17,21.63
1982,12,18,25.70
1982,12,19,253.49
1982,12,20,291.95
1982,12,21,202.54
1982,12,22,87.86
1982,12,23,47.54
1982,12,24,35.06
1982,12,25,31.27
1982,12,26,29.94
1982,12,27,29.23
1982,12,28,29.31
1982,12,29,28.59
1982,12,30,27.89
1982,12,31,27.91
1983,1,1,27.18
1983,1,2,26.53
1983,1,3,26.02
1983,1,4,25.56
1983,1,5,25.12
1983,1,6,24.70
1983,1,7,24.27
1983,1,8,23.86
1983,1,9,23.45
1983,1,10,23.06
1983,1,11,22.67
1983,1,12,22.29
1983,1,13,21.93
1983,1,14,21.58
1983,1,15,21.23
1983,1,16,20.87
1983,1,17,20.51
1983,1,18,20.17
1983,1,19,19.82
1983,1,20,19.48
1983,1,21,19.17
1983,1,22,18.86
1983,1,23,18.55
1983,1,24,18.23
1983,1,25,17.93
1983,1,26,17.62
1983,1,27,17.32
1983,1,28,17.04
1983,1,29,16.76
1983,1,30,16.48
1983,1,31,16.19
1983,2,1,37.89
1983,2,2,196.10
1983,2,3,171.47
1983,2,4,76.67
1983,2,5,36.79
1983,2,6,25.20
1983,2,7,21.87
1983,2,8,20.78
1983,2,9,20.69
1983,2,10,19.93
1983,2,11,19.58
1983,2,12,19.24
1983,2,13,29.04
1983,2,14,23.26
1983,2,15,20.01
1983,2,16,18.65
1983,2,17,18.02
1983,2,18,55.39
1983,2,19,133.45
1983,2,20,199.75
1983,2,21,282.53
1983,2,22,313.00
1983,2,23,252.87
1983,2,24,177.93
1983,2,25,130.33
1983,2,26,68.49
1983,2,27,46.40
1983,2,28,55.17
1983,3,1,44.28
1983,3,2,37.95
1983,3,3,35.22
1983,3,4,33.87
1983,3,5,64.44
1983,3,6,100.71
1983,3,7,62.26
1983,3,8,43.31
1983,3,9,43.23
1983,3,10,37.37
1983,3,11,34.10
1983,3,12,32.20
1983,3,13,31.22
1983,3,14,30.56
1983,3,15,29.97
1983,3,16,29.42
1983,3,17,28.94
1983,3,18,28.50
1983,3,19,28.05
1983,3,20,33.22
1983,3,21,61.93
1983,3,22,55.40
1983,3,23,38.95
1983,3,24,30.92
1983,3,25,27.76
1983,3,26,26.45
1983,3,27,25.81
1983,3,28,25.34
1983,3,29,24.90
1983,3,30,24.49
1983,3,31,24.06
1983,4,1,190.87
1983,4,2,190.25
1983,4,3,98.22
1983,4,4,50.43
1983,4,5,34.77
1983,4,6,29.89
1983,4,7,28.25
1983,4,8,27.64
1983,4,9,54.10
1983,4,10,59.83
1983,4,11,45.27
1983,4,12,38.01
1983,4,13,102.09
1983,4,14,219.30
1983,4,15,153.10
1983,4,16,76.97
1983,4,17,45.94
1983,4,18,35.47
1983,4,19,36.76
1983,4,20,34.53
1983,4,21,31.87
1983,4,22,84.90
1983,4,23,235.25
1983,4,24,199.42
1983,4,25,93.49
1983,4,26,53.18
1983,4,27,39.86
1983,4,28,35.65
1983,4,29,34.10
1983,4,30,33.26
1983,5,1,32.65
1983,5,2,152.35
1983,5,3,113.50
1983,5,4,63.18
1983,5,5,43.14
1983,5,6,36.22
1983,5,7,33.86
1983,5,8,32.81
1983,5,9,32.11
1983,5,10,37.04
1983,5,11,51.19
1983,5,12,39.17
1983,5,13,33.14
1983,5,14,30.87
1983,5,15,30.69
1983,5,16,29.59
1983,5,17,32.08
1983,5,18,39.76
1983,5,19,34.10
1983,5,20,29.68
1983,5,21,27.69
1983,5,22,26.69
1983,5,23,26.03
1983,5,24,25.57
1983,5,25,25.13
1983,5,26,24.72
1983,5,27,24.35
1983,5,28,33.06
1983,5,29,32.52
1983,5,30,27.88
1983,5,31,24.72
1983,6,1,23.21
1983,6,2,22.51
1983,6,3,22.03
1983,6,4,21.66
1983,6,5,21.21
1983,6,6,20.85
1983,6,7,20.56
1983,6,8,21.18
1983,6,9,20.46
1983,6,10,19.70
1983,6,11,19.13
1983,6,12,18.72
1983,6,13,18.50
1983,6,14,18.27
1983,6,15,17.97
1983,6,16,17.62
1983,6,17,17.32
